,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-4.15,1.65,17.3,0.01,-1.11,2.95,17.99,3.43
mu,der_mu,0,-4.27,0.24,12.61,1.38,3.12,2.08,21.37,3.83
beta,izq_beta,0,-3.74,1.87,8.55,0.55,-4.2,2.11,11.12,3.47
beta,der_beta,0,5.51,0.81,12.69,1.68,2.68,2.7,13.88,3.84
