,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-19.41,0.04,5.32,1.79,-17.99,2.68,11.0,3.18
mu,der_mu,0,-10.44,0.04,36.19,0.85,8.92,2.81,24.64,3.41
beta,izq_beta,0,-12.15,1.04,6.56,0.05,-16.87,2.84,17.67,3.85
beta,der_beta,0,-2.41,0.48,8.08,1.52,0.03,2.0,14.66,3.57
