,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-20.88,0.01,-6.5,1.07,-17.1,3.42,-1.87,3.92
mu,der_mu,0,-18.66,1.53,3.36,0.4,-0.09,2.2,14.37,3.38
beta,izq_beta,0,-16.89,0.75,7.4,0.25,-15.76,2.0,10.27,3.74
beta,der_beta,0,-9.62,1.24,20.38,0.13,-3.51,2.46,13.69,3.05
