,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-16.59,1.71,-5.85,0.04,-15.08,2.51,5.03,3.75
mu,der_mu,0,-18.7,1.77,-0.99,0.69,-16.63,2.48,18.05,3.85
beta,izq_beta,0,-12.81,0.2,1.78,0.71,-8.9,2.0,5.39,3.48
beta,der_beta,0,-11.73,0.98,4.17,0.47,-10.74,2.16,15.56,3.71
