,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-18.14,2.0,9.54,0.41,-27.52,3.38,5.08,4.0
mu,der_mu,0,-25.48,1.45,-2.45,0.2,-25.78,2.11,0.72,4.0
beta,izq_beta,0,-20.08,1.44,-4.64,0.44,-25.78,2.29,-6.54,3.98
beta,der_beta,0,-10.46,1.97,8.0,0.4,-13.33,3.51,2.4,4.0
