,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-6.62,0.33,20.45,1.86,-14.88,2.53,14.39,2.0
mu,der_mu,0,2.47,0.29,45.12,1.28,3.33,3.2,31.86,2.22
beta,izq_beta,0,-5.61,0.02,18.53,1.82,0.19,2.52,21.1,3.1
beta,der_beta,0,-4.57,0.0,19.91,1.97,-4.39,3.11,18.99,2.0
