,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-7.25,1.95,3.03,1.31,-8.7,2.28,3.9,3.26
mu,der_mu,0,-1.27,1.96,21.08,0.0,-9.63,3.35,13.61,3.96
beta,izq_beta,0,-0.21,0.0,14.02,1.36,-3.8,2.81,12.52,3.83
beta,der_beta,0,-0.01,0.1,18.23,1.11,-7.33,3.2,20.43,3.87
