trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740683553.7166126,1740683558.7148771,1740683569.1078858,2.0,1.0,0.2520759105682373,27/02/2025 16:12:33
2,2,DERECHA,1740683570.3071356,1740683576.7642365,1740683587.1400661,2.0,1.0,0.2589266300201416,27/02/2025 16:12:50
3,1,IZQUIERDA,1740683588.326491,1740683593.3157835,1740683603.6895082,2.0,1.0,0.2569468021392822,27/02/2025 16:13:08
4,2,DERECHA,1740683604.887323,1740683609.8419776,1740683620.2184496,2.0,1.0,0.25812482833862305,27/02/2025 16:13:24
5,1,IZQUIERDA,1740683621.4164927,1740683627.6864924,1740683638.058446,2.0,1.0,0.2629680633544922,27/02/2025 16:13:41
6,2,DERECHA,1740683639.2472117,1740683644.276747,1740683654.6555257,2.0,1.0,0.2490537166595459,27/02/2025 16:13:59
7,1,IZQUIERDA,1740683655.8564942,1740683660.996494,1740683671.373791,2.0,1.0,0.2525932788848877,27/02/2025 16:14:15
8,1,IZQUIERDA,1740683672.5566273,1740683678.7174907,1740683689.1072152,2.0,1.0,0.25675058364868164,27/02/2025 16:14:32
9,1,IZQUIERDA,1740683690.2972226,1740683696.107488,1740683706.484222,2.0,1.0,0.2547461986541748,27/02/2025 16:14:50
10,1,IZQUIERDA,1740683707.686507,1740683713.042815,1740683723.417498,2.0,1.0,0.2579967975616455,27/02/2025 16:15:07
11,2,DERECHA,1740683724.6047213,1740683730.1667297,1740683740.5592566,2.0,1.0,0.254366397857666,27/02/2025 16:15:24
12,2,DERECHA,1740683741.7474744,1740683747.1534953,1740683757.5464113,2.0,1.0,0.2498149871826172,27/02/2025 16:15:41
13,1,IZQUIERDA,1740683758.7465663,1740683764.2465212,1740683774.629403,2.0,1.0,0.26285338401794434,27/02/2025 16:15:58
14,1,IZQUIERDA,1740683775.8245504,1740683781.347405,1740683791.7190034,2.0,1.0,0.25895237922668457,27/02/2025 16:16:15
15,1,IZQUIERDA,1740683792.9164922,1740683798.516495,1740683808.8884995,2.0,1.0,0.25788164138793945,27/02/2025 16:16:32
16,1,IZQUIERDA,1740683810.0770633,1740683816.6666977,1740683827.0477064,2.0,1.0,0.24977445602416992,27/02/2025 16:16:50
17,2,DERECHA,1740683828.246498,1740683834.3695395,1740683844.7487705,2.0,1.0,0.24682140350341797,27/02/2025 16:17:08
18,2,DERECHA,1740683845.9574761,1740683851.5117939,1740683861.9083288,2.0,1.0,0.2579507827758789,27/02/2025 16:17:25
19,2,DERECHA,1740683863.1074276,1740683867.935214,1740683878.30913,2.0,1.0,0.2573220729827881,27/02/2025 16:17:43
20,2,DERECHA,1740683879.4945552,1740683885.3747566,1740683895.7485783,2.0,1.0,0.2561075687408447,27/02/2025 16:17:59
