trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740684362.935623,1740684368.096499,1740684378.4679072,2.0,1.0,0.25197649002075195,27/02/2025 16:26:02
2,2,DERECHA,1740684379.654608,1740684384.49632,1740684394.8867977,2.0,1.0,0.24928712844848633,27/02/2025 16:26:19
3,1,IZQUIERDA,1740684396.0756223,1740684402.0587986,1740684412.4376292,2.0,1.0,0.24584031105041504,27/02/2025 16:26:36
4,1,IZQUIERDA,1740684413.6365652,1740684419.3556228,1740684429.7471144,2.0,1.0,0.2540099620819092,27/02/2025 16:26:53
5,2,DERECHA,1740684430.9322116,1740684437.3856194,1740684447.7776396,2.0,1.0,0.25687170028686523,27/02/2025 16:27:10
6,1,IZQUIERDA,1740684448.9665658,1740684454.9664397,1740684465.3576314,2.0,1.0,0.26200151443481445,27/02/2025 16:27:28
7,1,IZQUIERDA,1740684466.5462692,1740684472.105619,1740684482.484242,2.0,1.0,0.2681539058685303,27/02/2025 16:27:46
8,1,IZQUIERDA,1740684483.6857474,1740684489.9037044,1740684500.277632,2.0,1.0,0.25967860221862793,27/02/2025 16:28:03
9,2,DERECHA,1740684501.4660614,1740684507.590845,1740684517.9948807,2.0,1.0,0.2589848041534424,27/02/2025 16:28:21
10,2,DERECHA,1740684519.1857667,1740684525.5145333,1740684535.888584,2.0,1.0,0.2570664882659912,27/02/2025 16:28:39
11,1,IZQUIERDA,1740684537.0756192,1740684542.3096366,1740684552.6855369,2.0,1.0,0.2527949810028076,27/02/2025 16:28:57
12,1,IZQUIERDA,1740684553.8756244,1740684559.0264041,1740684569.40776,2.0,1.0,0.2538139820098877,27/02/2025 16:29:13
13,2,DERECHA,1740684570.6063337,1740684576.435619,1740684586.8098779,2.0,1.0,0.260939359664917,27/02/2025 16:29:30
14,1,IZQUIERDA,1740684587.9964037,1740684593.1556213,1740684603.5283668,2.0,1.0,0.25102877616882324,27/02/2025 16:29:47
15,2,DERECHA,1740684604.716201,1740684610.5156205,1740684620.8879688,2.0,1.0,0.2554965019226074,27/02/2025 16:30:04
16,2,DERECHA,1740684622.0733683,1740684626.9658766,1740684637.3424354,2.0,1.0,0.25272250175476074,27/02/2025 16:30:22
17,1,IZQUIERDA,1740684638.5256228,1740684644.2005644,1740684654.5786219,2.0,1.0,0.25953173637390137,27/02/2025 16:30:38
18,2,DERECHA,1740684655.7756207,1740684660.9057677,1740684671.2779038,2.0,1.0,0.2689054012298584,27/02/2025 16:30:55
19,1,IZQUIERDA,1740684672.4661455,1740684677.5259118,1740684687.9049277,2.0,1.0,0.25009989738464355,27/02/2025 16:31:12
20,2,DERECHA,1740684689.1056218,1740684695.5460052,1740684705.9257193,2.0,1.0,0.2630741596221924,27/02/2025 16:31:29
