trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740682953.7922657,1740682959.4628644,1740682969.8418293,2.0,1.0,0.2506115436553955,27/02/2025 16:02:33
2,2,DERECHA,1740682971.0274248,1740682977.419538,1740682987.7943866,2.0,1.0,0.26160287857055664,27/02/2025 16:02:51
3,2,DERECHA,1740682988.9827173,1740682995.0271716,1740683005.4047663,2.0,1.0,0.25766992568969727,27/02/2025 16:03:08
4,1,IZQUIERDA,1740683006.6122656,1740683013.355912,1740683023.7322347,2.0,1.0,0.25926637649536133,27/02/2025 16:03:26
5,1,IZQUIERDA,1740683024.9332407,1740683029.7329004,1740683040.1060705,2.0,1.0,0.2635986804962158,27/02/2025 16:03:44
6,2,DERECHA,1740683041.292826,1740683047.311512,1740683057.6850307,2.0,1.0,0.2548553943634033,27/02/2025 16:04:01
7,2,DERECHA,1740683058.8724997,1740683065.5302398,1740683075.903414,2.0,1.0,0.25873446464538574,27/02/2025 16:04:18
8,1,IZQUIERDA,1740683077.1120982,1740683082.1093674,1740683092.484399,2.0,1.0,0.26099371910095215,27/02/2025 16:04:37
9,1,IZQUIERDA,1740683093.6822646,1740683099.6830528,1740683110.0642715,2.0,1.0,0.2534773349761963,27/02/2025 16:04:53
10,2,DERECHA,1740683111.2603483,1740683116.3422687,1740683126.7242758,2.0,1.0,0.2555716037750244,27/02/2025 16:05:11
11,1,IZQUIERDA,1740683127.922273,1740683133.3227406,1740683143.7032716,2.0,1.0,0.24422478675842285,27/02/2025 16:05:27
12,1,IZQUIERDA,1740683144.9018183,1740683150.8223517,1740683161.2162855,2.0,1.0,0.25998497009277344,27/02/2025 16:05:44
13,1,IZQUIERDA,1740683162.4023092,1740683168.8904376,1740683179.2654488,2.0,1.0,0.24886155128479004,27/02/2025 16:06:02
14,2,DERECHA,1740683180.4632394,1740683185.3402178,1740683195.7245607,2.0,1.0,0.2599601745605469,27/02/2025 16:06:20
15,2,DERECHA,1740683196.9223614,1740683203.2827199,1740683213.6532686,2.0,1.0,0.25611257553100586,27/02/2025 16:06:36
16,2,DERECHA,1740683214.8404422,1740683220.5422678,1740683230.9242723,2.0,1.0,0.25823354721069336,27/02/2025 16:06:54
17,2,DERECHA,1740683232.1232188,1740683238.6122684,1740683248.9833953,2.0,1.0,0.2492055892944336,27/02/2025 16:07:12
18,1,IZQUIERDA,1740683250.1823409,1740683255.5925035,1740683265.9847636,2.0,1.0,0.25916099548339844,27/02/2025 16:07:30
19,1,IZQUIERDA,1740683267.1831326,1740683272.6984477,1740683283.074272,2.0,1.0,0.2510974407196045,27/02/2025 16:07:47
20,1,IZQUIERDA,1740683284.263055,1740683289.261913,1740683299.6403387,2.0,1.0,0.25945043563842773,27/02/2025 16:08:04
