trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740425958.72582,1740425964.845938,1740425975.2267246,2.0,1.0,0.24700069427490234,24/02/2025 16:39:18
2,1,IZQUIERDA,1740425976.426234,1740425982.915936,1740425993.2880301,2.0,1.0,0.25399112701416016,24/02/2025 16:39:36
3,2,DERECHA,1740425994.473752,1740425999.3659341,1740426009.7389324,2.0,1.0,0.25203561782836914,24/02/2025 16:39:54
4,2,DERECHA,1740426010.9259377,1740426017.3959365,1740426027.778496,2.0,1.0,0.2520761489868164,24/02/2025 16:40:10
5,2,DERECHA,1740426028.986258,1740426035.5562353,1740426045.927943,2.0,1.0,0.2610611915588379,24/02/2025 16:40:28
6,2,DERECHA,1740426047.1134784,1740426052.486031,1740426062.865429,2.0,1.0,0.2548642158508301,24/02/2025 16:40:47
7,1,IZQUIERDA,1740426064.0659387,1740426069.017945,1740426079.3988788,2.0,1.0,0.2557246685028076,24/02/2025 16:41:04
8,1,IZQUIERDA,1740426080.5959423,1740426086.9159381,1740426097.288195,2.0,1.0,0.2604644298553467,24/02/2025 16:41:20
9,1,IZQUIERDA,1740426098.4760623,1740426104.9946826,1740426115.3679507,2.0,1.0,0.25376272201538086,24/02/2025 16:41:38
10,2,DERECHA,1740426116.5659359,1740426122.806047,1740426133.178025,2.0,1.0,0.2677772045135498,24/02/2025 16:41:56
11,2,DERECHA,1740426134.3852887,1740426139.1768322,1740426149.5582476,2.0,1.0,0.2624638080596924,24/02/2025 16:42:14
12,2,DERECHA,1740426150.7529902,1740426156.8945866,1740426167.2701325,2.0,1.0,0.24599552154541016,24/02/2025 16:42:30
13,2,DERECHA,1740426168.4559758,1740426174.300488,1740426184.6780648,2.0,1.0,0.25920963287353516,24/02/2025 16:42:48
14,1,IZQUIERDA,1740426185.8659337,1740426192.5859506,1740426202.9574776,2.0,1.0,0.265578031539917,24/02/2025 16:43:05
15,2,DERECHA,1740426204.146491,1740426210.5568712,1740426220.9285886,2.0,1.0,0.25690340995788574,24/02/2025 16:43:24
16,1,IZQUIERDA,1740426222.1159337,1740426226.976086,1740426237.3479512,2.0,1.0,0.25000977516174316,24/02/2025 16:43:42
17,1,IZQUIERDA,1740426238.535936,1740426245.205945,1740426255.5836732,2.0,1.0,0.24798989295959473,24/02/2025 16:43:58
18,1,IZQUIERDA,1740426256.776151,1740426263.1664834,1740426273.537937,2.0,1.0,0.2543144226074219,24/02/2025 16:44:16
19,1,IZQUIERDA,1740426274.735971,1740426280.7360392,1740426291.1183054,2.0,1.0,0.25562381744384766,24/02/2025 16:44:34
20,1,IZQUIERDA,1740426292.316336,1740426297.536907,1740426307.9183412,2.0,1.0,0.2515382766723633,24/02/2025 16:44:52
