trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740428387.2721956,1740428393.7525573,1740428404.1301584,2.0,1.0,0.2572450637817383,24/02/2025 17:19:47
2,2,DERECHA,1740428405.3313968,1740428410.188534,1740428420.5658495,2.0,1.0,0.25355052947998047,24/02/2025 17:20:05
3,1,IZQUIERDA,1740428421.7531357,1740428426.7222075,1740428437.1045136,2.0,1.0,0.2631988525390625,24/02/2025 17:20:21
4,1,IZQUIERDA,1740428438.3022072,1740428443.9922068,1740428454.3648973,2.0,1.0,0.24889135360717773,24/02/2025 17:20:38
5,1,IZQUIERDA,1740428455.572204,1740428460.9124107,1740428471.2842147,2.0,1.0,0.2644028663635254,24/02/2025 17:20:55
6,1,IZQUIERDA,1740428472.470297,1740428478.4423368,1740428488.823985,2.0,1.0,0.25122952461242676,24/02/2025 17:21:12
7,2,DERECHA,1740428490.022643,1740428495.5029047,1740428505.883208,2.0,1.0,0.24522638320922852,24/02/2025 17:21:30
8,1,IZQUIERDA,1740428507.0798006,1740428512.132871,1740428522.503414,2.0,1.0,0.2640852928161621,24/02/2025 17:21:47
9,2,DERECHA,1740428523.6923103,1740428528.570753,1740428538.9442568,2.0,1.0,0.25485801696777344,24/02/2025 17:22:03
10,2,DERECHA,1740428540.1429548,1740428546.4724038,1740428556.85536,2.0,1.0,0.26241207122802734,24/02/2025 17:22:20
11,1,IZQUIERDA,1740428558.0530915,1740428563.662555,1740428574.0341487,2.0,1.0,0.2481393814086914,24/02/2025 17:22:38
12,1,IZQUIERDA,1740428575.221361,1740428581.473162,1740428591.8548057,2.0,1.0,0.2619800567626953,24/02/2025 17:22:55
13,1,IZQUIERDA,1740428593.0527182,1740428598.6722932,1740428609.054211,2.0,1.0,0.2488875389099121,24/02/2025 17:23:13
14,2,DERECHA,1740428610.2522054,1740428616.5822022,1740428626.964206,2.0,1.0,0.2604234218597412,24/02/2025 17:23:30
15,1,IZQUIERDA,1740428628.1623597,1740428632.9922035,1740428643.364219,2.0,1.0,0.26399898529052734,24/02/2025 17:23:48
16,1,IZQUIERDA,1740428644.572206,1740428650.3322105,1740428660.7149098,2.0,1.0,0.26514530181884766,24/02/2025 17:24:04
17,2,DERECHA,1740428661.9122324,1740428667.3631277,1740428677.7452617,2.0,1.0,0.26085710525512695,24/02/2025 17:24:21
18,2,DERECHA,1740428678.9428303,1740428684.7522078,1740428695.1323738,2.0,1.0,0.26406002044677734,24/02/2025 17:24:38
19,2,DERECHA,1740428696.331974,1740428702.2202213,1740428712.6047683,2.0,1.0,0.25247621536254883,24/02/2025 17:24:56
20,2,DERECHA,1740428713.8021805,1740428719.8929703,1740428730.2758977,2.0,1.0,0.25059056282043457,24/02/2025 17:25:13
