trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740424826.881625,1740424831.6911595,1740424842.0740175,2.0,1.0,0.24925756454467773,24/02/2025 16:20:26
2,2,DERECHA,1740424843.2716618,1740424849.301159,1740424859.6771798,2.0,1.0,0.25913333892822266,24/02/2025 16:20:43
3,1,IZQUIERDA,1740424860.8614342,1740424867.177883,1740424877.5517251,2.0,1.0,0.2508511543273926,24/02/2025 16:21:00
4,2,DERECHA,1740424878.7415693,1740424885.4411714,1740424895.8231645,2.0,1.0,0.2599949836730957,24/02/2025 16:21:18
5,1,IZQUIERDA,1740424897.0211606,1740424903.1011596,1740424913.4732723,2.0,1.0,0.27061939239501953,24/02/2025 16:21:37
6,2,DERECHA,1740424914.6616375,1740424919.5808246,1740424929.9578617,2.0,1.0,0.25687646865844727,24/02/2025 16:21:54
7,1,IZQUIERDA,1740424931.1517222,1740424937.393165,1740424947.7735214,2.0,1.0,0.25080013275146484,24/02/2025 16:22:11
8,1,IZQUIERDA,1740424948.9716709,1740424954.005181,1740424964.383169,2.0,1.0,0.25085997581481934,24/02/2025 16:22:28
9,2,DERECHA,1740424965.5811577,1740424970.7211602,1740424981.10336,2.0,1.0,0.2508423328399658,24/02/2025 16:22:45
10,1,IZQUIERDA,1740424982.3011594,1740424988.4921165,1740424998.863164,2.0,1.0,0.26479434967041016,24/02/2025 16:23:02
11,2,DERECHA,1740425000.0513153,1740425006.0211632,1740425016.3982522,2.0,1.0,0.2550010681152344,24/02/2025 16:23:20
12,1,IZQUIERDA,1740425017.6011581,1740425023.4111571,1740425033.7915714,2.0,1.0,0.2609999179840088,24/02/2025 16:23:37
13,1,IZQUIERDA,1740425034.9916272,1740425041.4712656,1740425051.8527122,2.0,1.0,0.25174427032470703,24/02/2025 16:23:54
14,2,DERECHA,1740425053.0486479,1740425058.2212234,1740425068.6031716,2.0,1.0,0.25460004806518555,24/02/2025 16:24:13
15,2,DERECHA,1740425069.8011584,1740425075.7603471,1740425086.132301,2.0,1.0,0.2608773708343506,24/02/2025 16:24:29
16,1,IZQUIERDA,1740425087.3313541,1740425093.3612409,1740425103.7431698,2.0,1.0,0.2637803554534912,24/02/2025 16:24:47
17,1,IZQUIERDA,1740425104.9411576,1740425109.9911585,1740425120.3635507,2.0,1.0,0.2654545307159424,24/02/2025 16:25:04
18,2,DERECHA,1740425121.5513525,1740425126.5511613,1740425136.9331672,2.0,1.0,0.2636258602142334,24/02/2025 16:25:21
19,2,DERECHA,1740425138.1311598,1740425144.070705,1740425154.441487,2.0,1.0,0.25285935401916504,24/02/2025 16:25:38
20,1,IZQUIERDA,1740425155.63116,1740425161.346943,1740425171.7238245,2.0,1.0,0.24854350090026855,24/02/2025 16:25:55
