trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740074055.2749343,1740074061.6513093,1740074072.0288596,2.0,1.0,0.25325584411621094,20/02/2025 14:54:15
2,2,DERECHA,1740074073.2259636,1740074079.4448826,1740074089.8285782,2.0,1.0,0.25565505027770996,20/02/2025 14:54:33
3,1,IZQUIERDA,1740074091.0259812,1740074097.4450395,1740074107.8288522,2.0,1.0,0.25368499755859375,20/02/2025 14:54:51
4,1,IZQUIERDA,1740074109.0268142,1740074114.0706103,1740074124.44885,2.0,1.0,0.2578697204589844,20/02/2025 14:55:09
5,2,DERECHA,1740074125.6508632,1740074131.4958503,1740074141.8698516,2.0,1.0,0.2656075954437256,20/02/2025 14:55:25
6,2,DERECHA,1740074143.0554144,1740074149.1959503,1740074159.5893478,2.0,1.0,0.2594902515411377,20/02/2025 14:55:43
7,1,IZQUIERDA,1740074160.7962153,1740074167.416501,1740074177.799551,2.0,1.0,0.2583916187286377,20/02/2025 14:56:00
8,2,DERECHA,1740074178.9933174,1740074184.1657846,1740074194.550103,2.0,1.0,0.24828290939331055,20/02/2025 14:56:18
9,1,IZQUIERDA,1740074195.7435608,1740074201.6663635,1740074212.059853,2.0,1.0,0.25275349617004395,20/02/2025 14:56:35
10,2,DERECHA,1740074213.2567596,1740074219.3848767,1740074229.7594812,2.0,1.0,0.2557406425476074,20/02/2025 14:56:53
11,2,DERECHA,1740074230.9463108,1740074236.913546,1740074247.2998261,2.0,1.0,0.2517530918121338,20/02/2025 14:57:10
12,1,IZQUIERDA,1740074248.4963593,1740074254.1328232,1740074264.5186157,2.0,1.0,0.26185059547424316,20/02/2025 14:57:28
13,1,IZQUIERDA,1740074265.7166922,1740074272.0858335,1740074282.4654522,2.0,1.0,0.26095104217529297,20/02/2025 14:57:45
14,1,IZQUIERDA,1740074283.6660364,1740074288.515829,1740074298.8895605,2.0,1.0,0.2514078617095947,20/02/2025 14:58:03
15,2,DERECHA,1740074300.086046,1740074305.0106523,1740074315.3893027,2.0,1.0,0.2595813274383545,20/02/2025 14:58:20
16,2,DERECHA,1740074316.5861602,1740074321.4141262,1740074331.7908885,2.0,1.0,0.2517514228820801,20/02/2025 14:58:36
17,1,IZQUIERDA,1740074332.9958336,1740074338.3837028,1740074348.764961,2.0,1.0,0.2555234432220459,20/02/2025 14:58:52
18,2,DERECHA,1740074349.9598222,1740074356.460937,1740074366.8592942,2.0,1.0,0.25053858757019043,20/02/2025 14:59:09
19,1,IZQUIERDA,1740074368.0568326,1740074373.2647455,1740074383.6370788,2.0,1.0,0.24506735801696777,20/02/2025 14:59:28
20,2,DERECHA,1740074384.8358512,1740074391.0429916,1740074401.4197102,2.0,1.0,0.2566983699798584,20/02/2025 14:59:44
