trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740073066.7147927,1740073072.7584782,1740073083.135247,2.0,1.0,0.2564980983734131,20/02/2025 14:37:46
2,2,DERECHA,1740073084.3192153,1740073089.8683739,1740073100.2612786,2.0,1.0,0.25670933723449707,20/02/2025 14:38:04
3,1,IZQUIERDA,1740073101.4601378,1740073107.48505,1740073117.8562102,2.0,1.0,0.25573015213012695,20/02/2025 14:38:21
4,1,IZQUIERDA,1740073119.0548058,1740073124.794305,1740073135.1687884,2.0,1.0,0.2496018409729004,20/02/2025 14:38:39
5,1,IZQUIERDA,1740073136.3657577,1740073142.8188477,1740073153.2164364,2.0,1.0,0.24827361106872559,20/02/2025 14:38:56
6,1,IZQUIERDA,1740073154.413026,1740073160.995033,1740073171.3784,2.0,1.0,0.25836753845214844,20/02/2025 14:39:14
7,2,DERECHA,1740073172.5705779,1740073177.515159,1740073187.8882923,2.0,1.0,0.24798178672790527,20/02/2025 14:39:32
8,1,IZQUIERDA,1740073189.0853853,1740073194.7948055,1740073205.169283,2.0,1.0,0.26273655891418457,20/02/2025 14:39:49
9,2,DERECHA,1740073206.3743193,1740073212.3222516,1740073222.698917,2.0,1.0,0.2598080635070801,20/02/2025 14:40:06
10,2,DERECHA,1740073223.9007056,1740073228.805612,1740073239.188903,2.0,1.0,0.2584233283996582,20/02/2025 14:40:23
11,2,DERECHA,1740073240.3851888,1740073245.9459655,1740073256.331482,2.0,1.0,0.2587606906890869,20/02/2025 14:40:40
12,1,IZQUIERDA,1740073257.5255692,1740073262.6055243,1740073272.978736,2.0,1.0,0.24962806701660156,20/02/2025 14:40:57
13,1,IZQUIERDA,1740073274.1852438,1740073279.0705326,1740073289.4485488,2.0,1.0,0.27044105529785156,20/02/2025 14:41:14
14,2,DERECHA,1740073290.6480653,1740073296.7449455,1740073307.1214638,2.0,1.0,0.26101088523864746,20/02/2025 14:41:30
15,2,DERECHA,1740073308.324491,1740073313.5377395,1740073323.918905,2.0,1.0,0.26071691513061523,20/02/2025 14:41:48
16,1,IZQUIERDA,1740073325.1184502,1740073331.125627,1740073341.5003529,2.0,1.0,0.26160478591918945,20/02/2025 14:42:05
17,1,IZQUIERDA,1740073342.6956246,1740073348.3050082,1740073358.6851444,2.0,1.0,0.2582521438598633,20/02/2025 14:42:22
18,1,IZQUIERDA,1740073359.8850012,1740073364.7757816,1740073375.1606781,2.0,1.0,0.24913978576660156,20/02/2025 14:42:39
19,2,DERECHA,1740073376.3547878,1740073381.5247884,1740073391.9006207,2.0,1.0,0.2517690658569336,20/02/2025 14:42:56
20,2,DERECHA,1740073393.1047761,1740073398.7747269,1740073409.168851,2.0,1.0,0.260235071182251,20/02/2025 14:43:13
