trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740773960.0326862,1740773965.8421106,1740773976.2199388,2.0,1.0,0.2531623840332031,28/02/2025 17:19:20
2,1,IZQUIERDA,1740773977.4220014,1740773982.4960165,1740773992.873359,2.0,1.0,0.24300026893615723,28/02/2025 17:19:37
3,2,DERECHA,1740773994.0725667,1740774000.6421351,1740774011.0136878,2.0,1.0,0.2674875259399414,28/02/2025 17:19:54
4,1,IZQUIERDA,1740774012.2020018,1740774018.062397,1740774028.4340434,2.0,1.0,0.26910996437072754,28/02/2025 17:20:12
5,1,IZQUIERDA,1740774029.6420019,1740774035.3429546,1740774045.7250159,2.0,1.0,0.25980138778686523,28/02/2025 17:20:29
6,1,IZQUIERDA,1740774046.9181857,1740774052.9019978,1740774063.284621,2.0,1.0,0.24920320510864258,28/02/2025 17:20:46
7,1,IZQUIERDA,1740774064.4820006,1740774070.0319986,1740774080.405174,2.0,1.0,0.2546389102935791,28/02/2025 17:21:04
8,2,DERECHA,1740774081.5920017,1740774086.9482934,1740774097.3245022,2.0,1.0,0.2551538944244385,28/02/2025 17:21:21
9,2,DERECHA,1740774098.5107512,1740774103.6668746,1740774114.0441012,2.0,1.0,0.2539384365081787,28/02/2025 17:21:38
10,2,DERECHA,1740774115.2320764,1740774121.392171,1740774131.7640064,2.0,1.0,0.26270151138305664,28/02/2025 17:21:55
11,1,IZQUIERDA,1740774132.963411,1740774138.1365306,1740774148.5133097,2.0,1.0,0.25229358673095703,28/02/2025 17:22:12
12,1,IZQUIERDA,1740774149.7023413,1740774156.3422601,1740774166.7210588,2.0,1.0,0.2618999481201172,28/02/2025 17:22:29
13,2,DERECHA,1740774167.9220004,1740774174.0626054,1740774184.4348586,2.0,1.0,0.2633802890777588,28/02/2025 17:22:47
14,2,DERECHA,1740774185.6220021,1740774190.6219993,1740774201.0050201,2.0,1.0,0.2528250217437744,28/02/2025 17:23:05
15,1,IZQUIERDA,1740774202.202194,1740774207.4329262,1740774217.814442,2.0,1.0,0.26059937477111816,28/02/2025 17:23:22
16,1,IZQUIERDA,1740774219.0126195,1740774225.2301838,1740774235.61424,2.0,1.0,0.2504911422729492,28/02/2025 17:23:39
17,2,DERECHA,1740774236.8122876,1740774241.5730085,1740774251.9540112,2.0,1.0,0.24909687042236328,28/02/2025 17:23:56
18,1,IZQUIERDA,1740774253.1520026,1740774258.9328618,1740774269.3150253,2.0,1.0,0.24842333793640137,28/02/2025 17:24:13
19,2,DERECHA,1740774270.5119996,1740774277.2525938,1740774287.6241379,2.0,1.0,0.2569150924682617,28/02/2025 17:24:30
20,2,DERECHA,1740774288.822467,1740774294.902459,1740774305.2844458,2.0,1.0,0.25830078125,28/02/2025 17:24:48
