trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740772863.0142527,1740772868.684664,1740772879.0837016,2.0,1.0,0.2532002925872803,28/02/2025 17:01:03
2,2,DERECHA,1740772880.281298,1740772885.5606527,1740772895.9386377,2.0,1.0,0.2505910396575928,28/02/2025 17:01:20
3,2,DERECHA,1740772897.144732,1740772902.4492905,1740772912.8288798,2.0,1.0,0.25162267684936523,28/02/2025 17:01:37
4,2,DERECHA,1740772914.0264475,1740772918.8111663,1740772929.188632,2.0,1.0,0.2565884590148926,28/02/2025 17:01:54
5,1,IZQUIERDA,1740772930.4042623,1740772935.9045799,1740772946.287283,2.0,1.0,0.25263404846191406,28/02/2025 17:02:10
6,2,DERECHA,1740772947.4822977,1740772953.24468,1740772963.6286457,2.0,1.0,0.2529120445251465,28/02/2025 17:02:27
7,1,IZQUIERDA,1740772964.8248942,1740772971.0644262,1740772981.4386227,2.0,1.0,0.2535552978515625,28/02/2025 17:02:44
8,2,DERECHA,1740772982.6352558,1740772989.0949056,1740772999.4674547,2.0,1.0,0.2597365379333496,28/02/2025 17:03:02
9,2,DERECHA,1740773000.6751015,1740773006.058242,1740773016.4385483,2.0,1.0,0.25357604026794434,28/02/2025 17:03:20
10,1,IZQUIERDA,1740773017.6352146,1740773023.1847389,1740773033.5666342,2.0,1.0,0.2655065059661865,28/02/2025 17:03:37
11,1,IZQUIERDA,1740773034.7619176,1740773040.0646138,1740773050.4352734,2.0,1.0,0.24596309661865234,28/02/2025 17:03:54
12,1,IZQUIERDA,1740773051.6250799,1740773057.2642534,1740773067.6404717,2.0,1.0,0.26311612129211426,28/02/2025 17:04:11
13,2,DERECHA,1740773068.8448348,1740773073.7442548,1740773084.1284957,2.0,1.0,0.2577683925628662,28/02/2025 17:04:28
14,1,IZQUIERDA,1740773085.3245022,1740773091.8142557,1740773102.1864815,2.0,1.0,0.25539708137512207,28/02/2025 17:04:45
15,2,DERECHA,1740773103.385057,1740773109.7842412,1740773120.1562655,2.0,1.0,0.26340484619140625,28/02/2025 17:05:03
16,2,DERECHA,1740773121.3542528,1740773126.1849053,1740773136.5668192,2.0,1.0,0.25228071212768555,28/02/2025 17:05:21
17,1,IZQUIERDA,1740773137.7648804,1740773142.844241,1740773153.2152734,2.0,1.0,0.2536146640777588,28/02/2025 17:05:37
18,2,DERECHA,1740773154.404401,1740773159.284241,1740773169.6556654,2.0,1.0,0.2592792510986328,28/02/2025 17:05:54
19,1,IZQUIERDA,1740773170.8447008,1740773175.6042511,1740773185.9840462,2.0,1.0,0.25090575218200684,28/02/2025 17:06:10
20,1,IZQUIERDA,1740773187.1742425,1740773192.8694253,1740773203.2464683,2.0,1.0,0.25980138778686523,28/02/2025 17:06:27
