trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740773450.6528842,1740773456.1195352,1740773466.5045002,2.0,1.0,0.25200724601745605,28/02/2025 17:10:50
2,2,DERECHA,1740773467.7024808,1740773472.713489,1740773483.091631,2.0,1.0,0.2551596164703369,28/02/2025 17:11:07
3,1,IZQUIERDA,1740773484.2924857,1740773490.8424802,1740773501.2252955,2.0,1.0,0.2582223415374756,28/02/2025 17:11:24
4,2,DERECHA,1740773502.4196906,1740773508.1098802,1740773518.4845989,2.0,1.0,0.26038098335266113,28/02/2025 17:11:42
5,1,IZQUIERDA,1740773519.7007756,1740773524.7624874,1740773535.1437025,2.0,1.0,0.2543342113494873,28/02/2025 17:11:59
6,2,DERECHA,1740773536.3386543,1740773542.151239,1740773552.5319877,2.0,1.0,0.25739097595214844,28/02/2025 17:12:16
7,1,IZQUIERDA,1740773553.7329507,1740773560.106495,1740773570.4835718,2.0,1.0,0.2556605339050293,28/02/2025 17:12:33
8,2,DERECHA,1740773571.6832066,1740773576.702483,1740773587.0753176,2.0,1.0,0.25611329078674316,28/02/2025 17:12:51
9,2,DERECHA,1740773588.2624846,1740773594.123432,1740773604.4971151,2.0,1.0,0.2524394989013672,28/02/2025 17:13:08
10,1,IZQUIERDA,1740773605.6829212,1740773612.3624046,1740773622.7343557,2.0,1.0,0.2500021457672119,28/02/2025 17:13:25
11,2,DERECHA,1740773623.933146,1740773629.0634453,1740773639.435204,2.0,1.0,0.26636171340942383,28/02/2025 17:13:43
12,2,DERECHA,1740773640.6224844,1740773645.5127697,1740773655.8934884,2.0,1.0,0.24768924713134766,28/02/2025 17:14:00
13,1,IZQUIERDA,1740773657.092731,1740773661.9024096,1740773672.2847195,2.0,1.0,0.255723237991333,28/02/2025 17:14:17
14,2,DERECHA,1740773673.478821,1740773680.1724827,1740773690.54532,2.0,1.0,0.24527454376220703,28/02/2025 17:14:33
15,2,DERECHA,1740773691.7328832,1740773697.1066768,1740773707.4853613,2.0,1.0,0.25738072395324707,28/02/2025 17:14:51
16,2,DERECHA,1740773708.6824846,1740773713.46282,1740773723.8445466,2.0,1.0,0.2561349868774414,28/02/2025 17:15:08
17,1,IZQUIERDA,1740773725.0429952,1740773731.306852,1740773741.684564,2.0,1.0,0.25534892082214355,28/02/2025 17:15:25
18,1,IZQUIERDA,1740773742.8727317,1740773747.9024844,1740773758.2848656,2.0,1.0,0.2629973888397217,28/02/2025 17:15:42
19,1,IZQUIERDA,1740773759.4795752,1740773765.2834108,1740773775.6544921,2.0,1.0,0.25234174728393555,28/02/2025 17:15:59
20,1,IZQUIERDA,1740773776.84277,1740773781.7506676,1740773792.1224499,2.0,1.0,0.2488696575164795,28/02/2025 17:16:16
