trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740596633.2944205,1740596638.8590443,1740596649.2372277,2.0,1.0,0.2490677833557129,26/02/2025 16:03:53
2,1,IZQUIERDA,1740596650.434778,1740596655.3941953,1740596665.7679977,2.0,1.0,0.26344990730285645,26/02/2025 16:04:10
3,2,DERECHA,1740596666.9646132,1740596672.4339318,1740596682.8187912,2.0,1.0,0.2532498836517334,26/02/2025 16:04:26
4,2,DERECHA,1740596684.0146768,1740596688.8603606,1740596699.236596,2.0,1.0,0.2515876293182373,26/02/2025 16:04:44
5,2,DERECHA,1740596700.4484804,1740596706.5125813,1740596716.8960028,2.0,1.0,0.2548799514770508,26/02/2025 16:05:00
6,2,DERECHA,1740596718.0896616,1740596723.214207,1740596733.5992744,2.0,1.0,0.2568387985229492,26/02/2025 16:05:18
7,1,IZQUIERDA,1740596734.793878,1740596740.5438857,1740596750.927372,2.0,1.0,0.25808024406433105,26/02/2025 16:05:34
8,2,DERECHA,1740596752.1243181,1740596757.644395,1740596768.016608,2.0,1.0,0.24396848678588867,26/02/2025 16:05:52
9,2,DERECHA,1740596769.2143252,1740596775.2938907,1740596785.6778889,2.0,1.0,0.26265525817871094,26/02/2025 16:06:09
10,2,DERECHA,1740596786.8730621,1740596793.534575,1740596803.9088123,2.0,1.0,0.25154829025268555,26/02/2025 16:06:26
11,1,IZQUIERDA,1740596805.114553,1740596810.6710794,1740596821.0479558,2.0,1.0,0.26094532012939453,26/02/2025 16:06:45
12,2,DERECHA,1740596822.2543848,1740596827.2038856,1740596837.5807457,2.0,1.0,0.26569342613220215,26/02/2025 16:07:02
13,1,IZQUIERDA,1740596838.7838712,1740596845.5277247,1740596855.9079058,2.0,1.0,0.25543689727783203,26/02/2025 16:07:18
14,2,DERECHA,1740596857.1146173,1740596863.8140457,1740596874.1885421,2.0,1.0,0.2667698860168457,26/02/2025 16:07:37
15,1,IZQUIERDA,1740596875.3945327,1740596881.924206,1740596892.2985175,2.0,1.0,0.27100634574890137,26/02/2025 16:07:55
16,1,IZQUIERDA,1740596893.4959526,1740596899.246162,1740596909.6286805,2.0,1.0,0.2582993507385254,26/02/2025 16:08:13
17,1,IZQUIERDA,1740596910.8238814,1740596916.7038865,1740596927.0779414,2.0,1.0,0.2586488723754883,26/02/2025 16:08:30
18,1,IZQUIERDA,1740596928.283927,1740596934.173887,1740596944.5502505,2.0,1.0,0.2586665153503418,26/02/2025 16:08:48
19,1,IZQUIERDA,1740596945.7473047,1740596950.9741445,1740596961.3482533,2.0,1.0,0.26085877418518066,26/02/2025 16:09:05
20,1,IZQUIERDA,1740596962.544835,1740596968.4983575,1740596978.8744977,2.0,1.0,0.24724364280700684,26/02/2025 16:09:22
