trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740594314.951513,1740594321.3307426,1740594331.7026658,2.0,1.0,0.2552299499511719,26/02/2025 15:25:14
2,2,DERECHA,1740594332.8907933,1740594338.9512396,1740594349.3356261,2.0,1.0,0.24941539764404297,26/02/2025 15:25:32
3,1,IZQUIERDA,1740594350.5321598,1740594355.6716545,1740594366.047967,2.0,1.0,0.25187253952026367,26/02/2025 15:25:50
4,2,DERECHA,1740594367.2518888,1740594373.2510824,1740594383.6249962,2.0,1.0,0.2454679012298584,26/02/2025 15:26:07
5,1,IZQUIERDA,1740594384.8419294,1740594391.1993587,1740594401.5865467,2.0,1.0,0.2453303337097168,26/02/2025 15:26:24
6,2,DERECHA,1740594402.7815988,1740594409.0116029,1740594419.3960032,2.0,1.0,0.25562143325805664,26/02/2025 15:26:42
7,1,IZQUIERDA,1740594420.5919971,1740594425.498597,1740594435.8758597,2.0,1.0,0.2508113384246826,26/02/2025 15:27:00
8,2,DERECHA,1740594437.0739124,1740594443.7000344,1740594454.0856664,2.0,1.0,0.2576477527618408,26/02/2025 15:27:17
9,2,DERECHA,1740594455.281634,1740594460.1915102,1740594470.56464,2.0,1.0,0.25861096382141113,26/02/2025 15:27:35
10,1,IZQUIERDA,1740594471.7616465,1740594478.5135412,1740594488.894838,2.0,1.0,0.25461697578430176,26/02/2025 15:27:51
11,1,IZQUIERDA,1740594490.0920093,1740594495.5915186,1740594505.976453,2.0,1.0,0.26299142837524414,26/02/2025 15:28:10
12,1,IZQUIERDA,1740594507.1697013,1740594513.5119364,1740594523.896035,2.0,1.0,0.2582240104675293,26/02/2025 15:28:27
13,2,DERECHA,1740594525.0896013,1740594529.9515047,1740594540.3282156,2.0,1.0,0.2562446594238281,26/02/2025 15:28:45
14,1,IZQUIERDA,1740594541.5325258,1740594547.6220007,1740594557.999682,2.0,1.0,0.2537205219268799,26/02/2025 15:29:01
15,1,IZQUIERDA,1740594559.2020094,1740594564.3416448,1740594574.7270234,2.0,1.0,0.24944233894348145,26/02/2025 15:29:19
16,2,DERECHA,1740594575.922218,1740594581.2177043,1740594591.595825,2.0,1.0,0.24115324020385742,26/02/2025 15:29:35
17,2,DERECHA,1740594592.7994726,1740594598.7924652,1740594609.1721542,2.0,1.0,0.25635194778442383,26/02/2025 15:29:52
18,2,DERECHA,1740594610.372089,1740594616.3016572,1740594626.6756256,2.0,1.0,0.25462770462036133,26/02/2025 15:30:10
19,2,DERECHA,1740594627.8719413,1740594634.2615893,1740594644.647905,2.0,1.0,0.26110243797302246,26/02/2025 15:30:27
20,1,IZQUIERDA,1740594645.842373,1740594652.5778115,1740594662.956001,2.0,1.0,0.2592909336090088,26/02/2025 15:30:45
