trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740597872.5134523,1740597878.0926154,1740597888.4708376,2.0,1.0,0.25695300102233887,26/02/2025 16:24:32
2,2,DERECHA,1740597889.669378,1740597894.5138378,1740597904.8966444,2.0,1.0,0.24745416641235352,26/02/2025 16:24:49
3,2,DERECHA,1740597906.0928588,1740597911.7226076,1740597922.096641,2.0,1.0,0.25649118423461914,26/02/2025 16:25:06
4,1,IZQUIERDA,1740597923.293014,1740597928.6135342,1740597938.9860208,2.0,1.0,0.25019192695617676,26/02/2025 16:25:23
5,1,IZQUIERDA,1740597940.2030945,1740597945.2022505,1740597955.5786512,2.0,1.0,0.26044273376464844,26/02/2025 16:25:40
6,1,IZQUIERDA,1740597956.7835515,1740597961.622593,1740597972.0092125,2.0,1.0,0.25353336334228516,26/02/2025 16:25:56
7,1,IZQUIERDA,1740597973.2026007,1740597978.464632,1740597988.8457892,2.0,1.0,0.254990816116333,26/02/2025 16:26:13
8,1,IZQUIERDA,1740597990.0426044,1740597996.482599,1740598006.8615024,2.0,1.0,0.26485633850097656,26/02/2025 16:26:30
9,1,IZQUIERDA,1740598008.0604017,1740598013.5629127,1740598023.9363594,2.0,1.0,0.25714612007141113,26/02/2025 16:26:48
10,2,DERECHA,1740598025.123396,1740598031.752618,1740598042.1271818,2.0,1.0,0.25429582595825195,26/02/2025 16:27:05
11,2,DERECHA,1740598043.3242056,1740598048.4713757,1740598058.846935,2.0,1.0,0.25896549224853516,26/02/2025 16:27:23
12,1,IZQUIERDA,1740598060.0426242,1740598065.2035706,1740598075.5783179,2.0,1.0,0.25049805641174316,26/02/2025 16:27:40
13,2,DERECHA,1740598076.780555,1740598081.824383,1740598092.2071044,2.0,1.0,0.2504725456237793,26/02/2025 16:27:56
14,1,IZQUIERDA,1740598093.4028277,1740598098.9034457,1740598109.2856436,2.0,1.0,0.256641149520874,26/02/2025 16:28:13
15,2,DERECHA,1740598110.482779,1740598115.8244543,1740598126.2082827,2.0,1.0,0.2550504207611084,26/02/2025 16:28:30
16,2,DERECHA,1740598127.4030383,1740598132.4488952,1740598142.8266354,2.0,1.0,0.260545015335083,26/02/2025 16:28:47
17,1,IZQUIERDA,1740598144.0129604,1740598150.7629712,1740598161.1476088,2.0,1.0,0.261873722076416,26/02/2025 16:29:04
18,2,DERECHA,1740598162.3433404,1740598167.7181013,1740598178.096291,2.0,1.0,0.2526264190673828,26/02/2025 16:29:22
19,2,DERECHA,1740598179.2926114,1740598185.8631845,1740598196.236056,2.0,1.0,0.2560005187988281,26/02/2025 16:29:39
20,1,IZQUIERDA,1740598197.433024,1740598203.4185944,1740598213.7979918,2.0,1.0,0.24824190139770508,26/02/2025 16:29:57
