trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740595141.6122692,1740595148.2029173,1740595158.5842857,2.0,1.0,0.2592923641204834,26/02/2025 15:39:01
2,2,DERECHA,1740595159.7893934,1740595164.5907314,1740595174.975715,2.0,1.0,0.25870227813720703,26/02/2025 15:39:19
3,2,DERECHA,1740595176.1673205,1740595181.4023516,1740595191.787454,2.0,1.0,0.2510654926300049,26/02/2025 15:39:36
4,1,IZQUIERDA,1740595192.9823236,1740595198.0501378,1740595208.426112,2.0,1.0,0.2538115978240967,26/02/2025 15:39:52
5,1,IZQUIERDA,1740595209.6373243,1740595214.7506108,1740595225.1265993,2.0,1.0,0.26008152961730957,26/02/2025 15:40:09
6,2,DERECHA,1740595226.3321025,1740595231.8722324,1740595242.2578595,2.0,1.0,0.2566649913787842,26/02/2025 15:40:26
7,1,IZQUIERDA,1740595243.4537787,1740595249.5025792,1740595259.8899755,2.0,1.0,0.2591679096221924,26/02/2025 15:40:43
8,1,IZQUIERDA,1740595261.0897996,1740595266.0609345,1740595276.446236,2.0,1.0,0.2562131881713867,26/02/2025 15:41:01
9,1,IZQUIERDA,1740595277.6415005,1740595284.3111813,1740595294.6868477,2.0,1.0,0.2528212070465088,26/02/2025 15:41:17
10,2,DERECHA,1740595295.8721037,1740595301.2029488,1740595311.5869563,2.0,1.0,0.26179957389831543,26/02/2025 15:41:35
11,2,DERECHA,1740595312.7828846,1740595318.4226346,1740595328.8009164,2.0,1.0,0.25880002975463867,26/02/2025 15:41:52
12,2,DERECHA,1740595330.0025659,1740595335.1520004,1740595345.5343504,2.0,1.0,0.25739049911499023,26/02/2025 15:42:10
13,2,DERECHA,1740595346.731767,1740595352.5892956,1740595362.9752357,2.0,1.0,0.24883627891540527,26/02/2025 15:42:26
14,1,IZQUIERDA,1740595364.1724443,1740595370.762678,1740595381.1432855,2.0,1.0,0.24652719497680664,26/02/2025 15:42:44
15,2,DERECHA,1740595382.3401732,1740595388.3427799,1740595398.7239153,2.0,1.0,0.26081061363220215,26/02/2025 15:43:02
16,1,IZQUIERDA,1740595399.9227672,1740595405.222105,1740595415.597079,2.0,1.0,0.2443394660949707,26/02/2025 15:43:19
17,1,IZQUIERDA,1740595416.7924728,1740595421.6693408,1740595432.0470388,2.0,1.0,0.2586345672607422,26/02/2025 15:43:36
18,2,DERECHA,1740595433.252426,1740595439.2530062,1740595449.6251006,2.0,1.0,0.2637827396392822,26/02/2025 15:43:53
19,2,DERECHA,1740595450.831032,1740595456.042368,1740595466.427572,2.0,1.0,0.2579517364501953,26/02/2025 15:44:10
20,1,IZQUIERDA,1740595467.6223872,1740595473.0301306,1740595483.4061875,2.0,1.0,0.26413536071777344,26/02/2025 15:44:27
