,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-36.71,0.34,-16.38,1.7,-26.71,2.05,13.18,3.65
mu,der_mu,0,-9.66,0.4,14.14,1.54,-4.1,2.29,12.58,3.82
beta,izq_beta,0,-31.18,0.31,-20.27,1.61,-24.83,2.06,12.43,3.82
beta,der_beta,0,-15.69,0.27,5.2,1.93,-2.08,2.05,40.94,2.94
