,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-28.77,0.65,-2.43,0.0,-23.56,2.04,-1.67,3.69
mu,der_mu,0,-18.92,0.73,4.76,0.0,-16.02,2.0,15.19,3.83
beta,izq_beta,0,-29.77,0.33,-17.97,0.0,-26.19,2.0,12.71,3.5
beta,der_beta,0,-23.01,1.2,-3.8,0.0,-15.77,2.25,24.37,3.4
