trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740146647.287589,1740146652.3478131,1740146662.739721,2.0,1.0,0.2617197036743164,21/02/2025 11:04:07
2,2,DERECHA,1740146663.9268274,1740146669.5975943,1740146679.9794846,2.0,1.0,0.2613496780395508,21/02/2025 11:04:23
3,2,DERECHA,1740146681.1781545,1740146687.1175933,1740146697.4910734,2.0,1.0,0.24581336975097656,21/02/2025 11:04:41
4,1,IZQUIERDA,1740146698.6975877,1740146703.9275885,1740146714.3078923,2.0,1.0,0.2666795253753662,21/02/2025 11:04:58
5,2,DERECHA,1740146715.5203822,1740146721.3170967,1740146731.695811,2.0,1.0,0.2620425224304199,21/02/2025 11:05:15
6,1,IZQUIERDA,1740146732.8928466,1740146737.8180938,1740146748.1946816,2.0,1.0,0.2669210433959961,21/02/2025 11:05:32
7,2,DERECHA,1740146749.3956952,1740146754.3656,1740146764.7411776,2.0,1.0,0.24725651741027832,21/02/2025 11:05:49
8,1,IZQUIERDA,1740146765.9482462,1740146771.0675938,1740146781.4506838,2.0,1.0,0.2535250186920166,21/02/2025 11:06:05
9,1,IZQUIERDA,1740146782.6475933,1740146789.3056796,1740146799.677692,2.0,1.0,0.24899601936340332,21/02/2025 11:06:22
10,2,DERECHA,1740146800.8676803,1740146806.948529,1740146817.320418,2.0,1.0,0.25350499153137207,21/02/2025 11:06:40
11,2,DERECHA,1740146818.5182717,1740146824.5207222,1740146834.903487,2.0,1.0,0.26185083389282227,21/02/2025 11:06:58
12,1,IZQUIERDA,1740146836.0985355,1740146842.0977314,1740146852.4744065,2.0,1.0,0.2633936405181885,21/02/2025 11:07:16
13,1,IZQUIERDA,1740146853.6680462,1740146859.1780355,1740146869.5606093,2.0,1.0,0.2576022148132324,21/02/2025 11:07:33
14,2,DERECHA,1740146870.754275,1740146876.1446607,1740146886.5220714,2.0,1.0,0.26262974739074707,21/02/2025 11:07:50
15,1,IZQUIERDA,1740146887.7280996,1740146893.3179898,1740146903.7006176,2.0,1.0,0.2559206485748291,21/02/2025 11:08:07
16,2,DERECHA,1740146904.8928275,1740146911.2882147,1740146921.6615734,2.0,1.0,0.25592041015625,21/02/2025 11:08:24
17,1,IZQUIERDA,1740146922.8477,1740146927.837704,1740146938.211563,2.0,1.0,0.26474428176879883,21/02/2025 11:08:42
18,1,IZQUIERDA,1740146939.4146657,1740146945.583361,1740146955.9606392,2.0,1.0,0.2579689025878906,21/02/2025 11:08:59
19,1,IZQUIERDA,1740146957.1657178,1740146963.4275906,1740146973.811273,2.0,1.0,0.26389336585998535,21/02/2025 11:09:17
20,2,DERECHA,1740146975.0075924,1740146981.347627,1740146991.7306075,2.0,1.0,0.25274229049682617,21/02/2025 11:09:35
