trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740163086.2053437,1740163092.2543333,1740163102.6328743,2.0,1.0,0.25199246406555176,21/02/2025 15:38:06
2,2,DERECHA,1740163103.8344202,1740163109.2743332,1740163119.6483512,2.0,1.0,0.25382494926452637,21/02/2025 15:38:23
3,2,DERECHA,1740163120.8549254,1740163126.644486,1740163137.0354333,2.0,1.0,0.2624201774597168,21/02/2025 15:38:40
4,1,IZQUIERDA,1740163138.224384,1740163144.0647798,1740163154.447961,2.0,1.0,0.25016188621520996,21/02/2025 15:38:58
5,2,DERECHA,1740163155.6450868,1740163161.8823662,1740163172.2593222,2.0,1.0,0.24911737442016602,21/02/2025 15:39:15
6,1,IZQUIERDA,1740163173.4552197,1740163180.1634817,1740163190.5387356,2.0,1.0,0.258847713470459,21/02/2025 15:39:33
7,1,IZQUIERDA,1740163191.7443998,1740163197.0652387,1740163207.4482276,2.0,1.0,0.25165629386901855,21/02/2025 15:39:51
8,2,DERECHA,1740163208.6443305,1740163214.0543303,1740163224.4273787,2.0,1.0,0.2588765621185303,21/02/2025 15:40:08
9,1,IZQUIERDA,1740163225.6304274,1740163231.9743304,1740163242.353515,2.0,1.0,0.26094841957092285,21/02/2025 15:40:25
10,2,DERECHA,1740163243.5544908,1740163249.9941866,1740163260.3679733,2.0,1.0,0.2547929286956787,21/02/2025 15:40:43
11,1,IZQUIERDA,1740163261.565375,1740163267.1115055,1740163277.4945555,2.0,1.0,0.25750207901000977,21/02/2025 15:41:01
12,2,DERECHA,1740163278.6945007,1740163283.4945161,1740163293.8698773,2.0,1.0,0.25549983978271484,21/02/2025 15:41:18
13,1,IZQUIERDA,1740163295.0653427,1740163299.924331,1740163310.3073454,2.0,1.0,0.26094555854797363,21/02/2025 15:41:35
14,2,DERECHA,1740163311.5043347,1740163317.5542881,1740163327.9287925,2.0,1.0,0.25824427604675293,21/02/2025 15:41:51
15,2,DERECHA,1740163329.1343315,1740163335.5809705,1740163345.9598026,2.0,1.0,0.24738359451293945,21/02/2025 15:42:09
16,1,IZQUIERDA,1740163347.1647816,1740163353.4590976,1740163363.8383522,2.0,1.0,0.25174808502197266,21/02/2025 15:42:27
17,2,DERECHA,1740163365.0344927,1740163371.394369,1740163381.7773979,2.0,1.0,0.2553737163543701,21/02/2025 15:42:45
18,1,IZQUIERDA,1740163382.9749732,1740163389.6115763,1740163399.9981174,2.0,1.0,0.24870991706848145,21/02/2025 15:43:02
19,2,DERECHA,1740163401.1945593,1740163406.9744148,1740163417.3583567,2.0,1.0,0.2575843334197998,21/02/2025 15:43:21
20,1,IZQUIERDA,1740163418.5523603,1740163424.354335,1740163434.7263181,2.0,1.0,0.24605536460876465,21/02/2025 15:43:38
