,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-37.44,0.63,-13.94,1.69,-33.41,3.23,-8.75,4.0
mu,der_mu,0,-4.0,0.85,36.8,2.0,12.86,3.45,37.81,2.05
beta,izq_beta,0,-25.29,0.04,-14.47,1.05,-25.48,2.23,-7.66,4.0
beta,der_beta,0,-0.88,0.82,14.25,1.37,-9.63,3.28,10.14,2.0
