,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-4.46,0.27,17.77,1.46,-9.96,3.62,13.45,2.02
mu,der_mu,0,-4.24,0.23,28.79,1.15,12.29,2.79,32.94,3.33
beta,izq_beta,0,-6.67,1.28,16.94,0.54,-11.19,2.38,4.65,3.86
beta,der_beta,0,4.35,1.7,23.38,0.64,5.88,2.0,32.51,3.81
