trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1740767136.5161035,1740767142.5263088,1740767152.9259787,2.0,1.0,0.26057004928588867,28/02/2025 15:25:36
2,1,IZQUIERDA,1740767154.126955,1740767159.0421145,1740767169.419983,2.0,1.0,0.25266528129577637,28/02/2025 15:25:54
3,1,IZQUIERDA,1740767170.6264307,1740767176.447565,1740767186.830277,2.0,1.0,0.2579336166381836,28/02/2025 15:26:10
4,1,IZQUIERDA,1740767188.0262218,1740767192.8259172,1740767203.209109,2.0,1.0,0.25630760192871094,28/02/2025 15:26:28
5,2,DERECHA,1740767204.4167266,1740767211.0962536,1740767221.4702742,2.0,1.0,0.25103306770324707,28/02/2025 15:26:44
6,2,DERECHA,1740767222.6663494,1740767228.2621615,1740767238.6403317,2.0,1.0,0.24953985214233398,28/02/2025 15:27:02
7,1,IZQUIERDA,1740767239.8460536,1740767245.8431716,1740767256.2200303,2.0,1.0,0.2545032501220703,28/02/2025 15:27:19
8,2,DERECHA,1740767257.4168196,1740767262.9163,1740767273.2976892,2.0,1.0,0.25264644622802734,28/02/2025 15:27:37
9,1,IZQUIERDA,1740767274.4960427,1740767280.736159,1740767291.1094003,2.0,1.0,0.2588648796081543,28/02/2025 15:27:54
10,1,IZQUIERDA,1740767292.306695,1740767297.2307289,1740767307.6101956,2.0,1.0,0.25082874298095703,28/02/2025 15:28:12
11,1,IZQUIERDA,1740767308.8159506,1740767314.4787,1740767324.861099,2.0,1.0,0.26207637786865234,28/02/2025 15:28:28
12,2,DERECHA,1740767326.061952,1740767332.066792,1740767342.4359562,2.0,1.0,0.2493748664855957,28/02/2025 15:28:46
13,1,IZQUIERDA,1740767343.6363666,1740767349.8239782,1740767360.2101119,2.0,1.0,0.25670933723449707,28/02/2025 15:29:03
14,2,DERECHA,1740767361.4049878,1740767367.7159998,1740767378.099895,2.0,1.0,0.25835466384887695,28/02/2025 15:29:21
15,2,DERECHA,1740767379.2957733,1740767385.5159202,1740767395.8903143,2.0,1.0,0.26550889015197754,28/02/2025 15:29:39
16,2,DERECHA,1740767397.0880814,1740767403.3701394,1740767413.7489867,2.0,1.0,0.2542533874511719,28/02/2025 15:29:57
17,2,DERECHA,1740767414.9485383,1740767420.916663,1740767431.2999878,2.0,1.0,0.2513234615325928,28/02/2025 15:30:14
18,1,IZQUIERDA,1740767432.4966576,1740767438.6559868,1740767449.0301833,2.0,1.0,0.2674236297607422,28/02/2025 15:30:32
19,2,DERECHA,1740767450.2306297,1740767455.9520838,1740767466.3318958,2.0,1.0,0.264467716217041,28/02/2025 15:30:50
20,1,IZQUIERDA,1740767467.5259714,1740767473.5159168,1740767483.888973,2.0,1.0,0.2613942623138428,28/02/2025 15:31:07
