trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740767900.9234626,1740767907.48374,1740767917.8567004,2.0,1.0,0.26624035835266113,28/02/2025 15:38:20
2,2,DERECHA,1740767919.0448859,1740767925.6735048,1740767936.0483444,2.0,1.0,0.2509021759033203,28/02/2025 15:38:39
3,2,DERECHA,1740767937.252139,1740767943.4642048,1740767953.848363,2.0,1.0,0.25771641731262207,28/02/2025 15:38:57
4,1,IZQUIERDA,1740767955.043664,1740767960.844166,1740767971.2182465,2.0,1.0,0.2573056221008301,28/02/2025 15:39:15
5,2,DERECHA,1740767972.4333854,1740767978.1360266,1740767988.515903,2.0,1.0,0.2513139247894287,28/02/2025 15:39:32
6,2,DERECHA,1740767989.7136762,1740767994.5039785,1740768004.8764057,2.0,1.0,0.25266170501708984,28/02/2025 15:39:49
7,1,IZQUIERDA,1740768006.0741389,1740768012.624025,1740768022.999418,2.0,1.0,0.26520204544067383,28/02/2025 15:40:06
8,2,DERECHA,1740768024.2041342,1740768030.1124096,1740768040.4873948,2.0,1.0,0.26641845703125,28/02/2025 15:40:24
9,2,DERECHA,1740768041.683711,1740768047.2317805,1740768057.6076357,2.0,1.0,0.2522866725921631,28/02/2025 15:40:41
10,2,DERECHA,1740768058.813764,1740768065.0133855,1740768075.3976753,2.0,1.0,0.24799227714538574,28/02/2025 15:40:58
11,2,DERECHA,1740768076.5903378,1740768083.2636983,1740768093.6439617,2.0,1.0,0.26225900650024414,28/02/2025 15:41:16
12,1,IZQUIERDA,1740768094.8397264,1740768100.9333851,1740768111.3151672,2.0,1.0,0.26353883743286133,28/02/2025 15:41:34
13,1,IZQUIERDA,1740768112.5134907,1740768117.2934413,1740768127.677415,2.0,1.0,0.25156092643737793,28/02/2025 15:41:52
14,1,IZQUIERDA,1740768128.8738885,1740768134.5143797,1740768144.897409,2.0,1.0,0.2529873847961426,28/02/2025 15:42:08
15,1,IZQUIERDA,1740768146.0937178,1740768151.3137162,1740768161.6874328,2.0,1.0,0.25104570388793945,28/02/2025 15:42:26
16,1,IZQUIERDA,1740768162.891157,1740768168.3850431,1740768178.7667522,2.0,1.0,0.2523524761199951,28/02/2025 15:42:42
17,2,DERECHA,1740768179.9640226,1740768185.6733708,1740768196.047763,2.0,1.0,0.2527801990509033,28/02/2025 15:42:59
18,2,DERECHA,1740768197.2533913,1740768203.1537206,1740768213.5378687,2.0,1.0,0.25655531883239746,28/02/2025 15:43:17
19,1,IZQUIERDA,1740768214.733703,1740768220.904156,1740768231.2879493,2.0,1.0,0.2616734504699707,28/02/2025 15:43:34
20,1,IZQUIERDA,1740768232.483202,1740768238.683717,1740768249.0680552,2.0,1.0,0.26252126693725586,28/02/2025 15:43:52
