,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-14.08,0.57,8.0,0.04,-9.17,2.52,9.05,2.13
mu,der_mu,0,-10.67,0.28,15.36,1.48,-11.64,2.51,12.51,3.84
beta,izq_beta,0,-9.41,1.4,4.19,0.08,-12.15,2.75,-0.27,2.03
beta,der_beta,0,3.71,0.07,16.28,0.62,-0.73,3.24,16.69,3.73
