,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-12.92,1.73,5.02,0.0,-5.77,3.32,5.59,2.62
mu,der_mu,0,-18.56,0.4,-7.15,1.71,-14.58,2.23,11.25,3.83
beta,izq_beta,0,-6.6,0.06,5.53,1.54,-9.38,3.31,2.47,3.84
beta,der_beta,0,-7.06,0.26,11.83,1.76,0.49,2.26,17.56,3.82
