,,,min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
mu,izq_mu,0,-32.02,0.46,-11.64,0.0,-39.22,2.78,10.92,3.83
mu,der_mu,0,-28.44,0.36,-12.02,1.61,-39.73,2.87,-10.69,4.0
beta,izq_beta,0,-33.99,1.88,-22.1,0.0,-35.81,2.25,0.6,3.88
beta,der_beta,0,-30.94,2.0,-17.83,0.0,-32.18,2.04,-4.87,3.97
