min_task,latmin_task,max_task,latmax_task,min_postask,latmin_postask,max_postask,latmax_postask
-47.1594030824918,0.587890625,-30.01416019783639,0.0,-43.80447305143745,2.0,-14.491578293171045,4.0
-39.39686702399576,1.125,-10.161835128359565,1.857421875,-35.885185466912276,3.30078125,-6.5926943864757135,4.0
-32.10943798242502,1.396484375,-19.15207280240124,0.0,-29.711412851482184,3.474609375,-13.22121067833868,4.0
-29.26868491036119,0.59765625,-13.900258168483262,0.0,-24.079770875922815,3.25390625,-1.1347112729454267,4.0
