trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1739993970.8048906,1739993976.645074,1739993987.0264885,2.0,1.0,0.25931429862976074,19/02/2025 16:39:30
2,2,DERECHA,1739993988.2258987,1739993994.694891,1739994005.068334,2.0,1.0,0.25669145584106445,19/02/2025 16:39:48
3,1,IZQUIERDA,1739994006.2548904,1739994011.83493,1739994022.208811,2.0,1.0,0.261777400970459,19/02/2025 16:40:06
4,1,IZQUIERDA,1739994023.415107,1739994028.3048887,1739994038.6789794,2.0,1.0,0.262270450592041,19/02/2025 16:40:23
5,1,IZQUIERDA,1739994039.8848886,1739994045.6452265,1739994056.0272136,2.0,1.0,0.2655012607574463,19/02/2025 16:40:39
6,2,DERECHA,1739994057.2222939,1739994062.4916613,1739994072.866048,2.0,1.0,0.24938702583312988,19/02/2025 16:40:57
7,2,DERECHA,1739994074.0651233,1739994080.7549133,1739994091.139681,2.0,1.0,0.26105165481567383,19/02/2025 16:41:14
8,2,DERECHA,1739994092.3312898,1739994098.6930983,1739994109.0706053,2.0,1.0,0.2512228488922119,19/02/2025 16:41:32
9,1,IZQUIERDA,1739994110.275337,1739994115.9391916,1739994126.3195574,2.0,1.0,0.2549283504486084,19/02/2025 16:41:50
10,1,IZQUIERDA,1739994127.522702,1739994133.8775885,1739994144.2553804,2.0,1.0,0.2521660327911377,19/02/2025 16:42:07
11,2,DERECHA,1739994145.45503,1739994151.2379427,1739994161.6189103,2.0,1.0,0.2565743923187256,19/02/2025 16:42:25
12,1,IZQUIERDA,1739994162.814894,1739994167.945163,1739994178.3179114,2.0,1.0,0.26226115226745605,19/02/2025 16:42:42
13,1,IZQUIERDA,1739994179.5248919,1739994185.3952744,1739994195.7779088,2.0,1.0,0.2542457580566406,19/02/2025 16:42:59
14,1,IZQUIERDA,1739994196.9755747,1739994203.1750104,1739994213.5530045,2.0,1.0,0.25460362434387207,19/02/2025 16:43:16
15,2,DERECHA,1739994214.7554097,1739994220.5648909,1739994230.9482808,2.0,1.0,0.24869608879089355,19/02/2025 16:43:34
16,2,DERECHA,1739994232.144892,1739994238.7052033,1739994249.0879161,2.0,1.0,0.25116586685180664,19/02/2025 16:43:52
17,2,DERECHA,1739994250.2848902,1739994255.4925234,1739994265.865281,2.0,1.0,0.25025391578674316,19/02/2025 16:44:10
18,2,DERECHA,1739994267.0649884,1739994273.335268,1739994283.7077897,2.0,1.0,0.26834917068481445,19/02/2025 16:44:27
19,1,IZQUIERDA,1739994284.895714,1739994290.095385,1739994300.477907,2.0,1.0,0.25498223304748535,19/02/2025 16:44:44
20,1,IZQUIERDA,1739994301.6749043,1739994307.6148922,1739994317.991531,2.0,1.0,0.2519984245300293,19/02/2025 16:45:01
