trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1739995432.8792498,1739995438.4712663,1739995448.8642616,2.0,1.0,0.2516663074493408,19/02/2025 17:03:52
2,2,DERECHA,1739995450.0695565,1739995454.971086,1739995465.3541708,2.0,1.0,0.24889206886291504,19/02/2025 17:04:10
3,2,DERECHA,1739995466.5488112,1739995471.4091213,1739995481.7916453,2.0,1.0,0.25169897079467773,19/02/2025 17:04:26
4,2,DERECHA,1739995482.990526,1739995489.551105,1739995499.9282281,2.0,1.0,0.26383399963378906,19/02/2025 17:04:42
5,1,IZQUIERDA,1739995501.1313503,1739995505.8998353,1739995516.2745519,2.0,1.0,0.2507894039154053,19/02/2025 17:05:01
6,1,IZQUIERDA,1739995517.4705243,1739995523.2205272,1739995533.6035461,2.0,1.0,0.24822759628295898,19/02/2025 17:05:17
7,2,DERECHA,1739995534.8006077,1739995540.986667,1739995551.3728092,2.0,1.0,0.2507624626159668,19/02/2025 17:05:34
8,2,DERECHA,1739995552.5705242,1739995558.1912105,1739995568.5688415,2.0,1.0,0.25872182846069336,19/02/2025 17:05:52
9,2,DERECHA,1739995569.7711895,1739995574.7605271,1739995585.1328878,2.0,1.0,0.2543482780456543,19/02/2025 17:06:09
10,2,DERECHA,1739995586.3297427,1739995591.580528,1739995601.963547,2.0,1.0,0.2618825435638428,19/02/2025 17:06:26
11,2,DERECHA,1739995603.1605248,1739995608.8608608,1739995619.24356,2.0,1.0,0.25536394119262695,19/02/2025 17:06:43
12,1,IZQUIERDA,1739995620.44079,1739995625.2366495,1739995635.6236691,2.0,1.0,0.2614786624908447,19/02/2025 17:07:00
13,1,IZQUIERDA,1739995636.820005,1739995643.0106516,1739995653.3840916,2.0,1.0,0.2444164752960205,19/02/2025 17:07:16
14,1,IZQUIERDA,1739995654.5808988,1739995659.8306763,1739995670.214619,2.0,1.0,0.26285767555236816,19/02/2025 17:07:34
15,1,IZQUIERDA,1739995671.411459,1739995678.0037992,1739995688.3829236,2.0,1.0,0.258253812789917,19/02/2025 17:07:51
16,1,IZQUIERDA,1739995689.5814848,1739995695.7705293,1739995706.154517,2.0,1.0,0.26456165313720703,19/02/2025 17:08:09
17,2,DERECHA,1739995707.350528,1739995713.2402349,1739995723.6236186,2.0,1.0,0.2561991214752197,19/02/2025 17:08:27
18,1,IZQUIERDA,1739995724.8150427,1739995730.4909556,1739995740.863852,2.0,1.0,0.25968027114868164,19/02/2025 17:08:44
19,2,DERECHA,1739995742.0514975,1739995748.1305351,1739995758.5080612,2.0,1.0,0.2650735378265381,19/02/2025 17:09:02
20,1,IZQUIERDA,1739995759.7045107,1739995765.6914759,1739995776.0742083,2.0,1.0,0.25829601287841797,19/02/2025 17:09:19
