trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1739994581.3366075,1739994586.2259133,1739994596.5989327,2.0,1.0,0.27057480812072754,19/02/2025 16:49:41
2,1,IZQUIERDA,1739994597.8051684,1739994604.1641273,1739994614.5398912,2.0,1.0,0.2650773525238037,19/02/2025 16:49:57
3,2,DERECHA,1739994615.736172,1739994620.8959146,1739994631.2757792,2.0,1.0,0.2667074203491211,19/02/2025 16:50:15
4,2,DERECHA,1739994632.4765906,1739994638.5052698,1739994648.883074,2.0,1.0,0.2534060478210449,19/02/2025 16:50:32
5,1,IZQUIERDA,1739994650.086882,1739994655.5838625,1739994665.9599214,2.0,1.0,0.2625150680541992,19/02/2025 16:50:50
6,1,IZQUIERDA,1739994667.166843,1739994672.5350492,1739994682.919191,2.0,1.0,0.2559165954589844,19/02/2025 16:51:07
7,2,DERECHA,1739994684.1119258,1739994689.5567458,1739994699.931434,2.0,1.0,0.25413060188293457,19/02/2025 16:51:24
8,2,DERECHA,1739994701.132942,1739994706.347095,1739994716.7256536,2.0,1.0,0.25858473777770996,19/02/2025 16:51:41
9,1,IZQUIERDA,1739994717.9259129,1739994724.0661297,1739994734.442812,2.0,1.0,0.2541310787200928,19/02/2025 16:51:57
10,2,DERECHA,1739994735.6338067,1739994740.4554675,1739994750.83893,2.0,1.0,0.2616233825683594,19/02/2025 16:52:15
11,1,IZQUIERDA,1739994752.035914,1739994757.426239,1739994767.8107045,2.0,1.0,0.2517733573913574,19/02/2025 16:52:32
12,1,IZQUIERDA,1739994769.0059152,1739994774.485915,1739994784.8691213,2.0,1.0,0.2528212070465088,19/02/2025 16:52:49
13,1,IZQUIERDA,1739994786.0662642,1739994792.4561167,1739994802.839164,2.0,1.0,0.2528865337371826,19/02/2025 16:53:06
14,1,IZQUIERDA,1739994804.03592,1739994809.005918,1739994819.3819418,2.0,1.0,0.25866246223449707,19/02/2025 16:53:24
15,1,IZQUIERDA,1739994820.585914,1739994826.691346,1739994837.0703096,2.0,1.0,0.2502129077911377,19/02/2025 16:53:40
16,2,DERECHA,1739994838.2760735,1739994844.275921,1739994854.6489308,2.0,1.0,0.2561483383178711,19/02/2025 16:53:58
17,1,IZQUIERDA,1739994855.845917,1739994862.023052,1739994872.3989267,2.0,1.0,0.2521357536315918,19/02/2025 16:54:15
18,2,DERECHA,1739994873.5959148,1739994879.9442458,1739994890.3195915,2.0,1.0,0.2474672794342041,19/02/2025 16:54:33
19,2,DERECHA,1739994891.5267184,1739994897.313954,1739994907.6950133,2.0,1.0,0.2640812397003174,19/02/2025 16:54:51
20,2,DERECHA,1739994908.8959131,1739994914.1106813,1739994924.4907227,2.0,1.0,0.2474672794342041,19/02/2025 16:55:08
