trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1739996200.3968036,1739996206.316287,1739996216.6945677,2.0,1.0,0.25226402282714844,19/02/2025 17:16:40
2,2,DERECHA,1739996217.8972435,1739996224.0343084,1739996234.4218552,2.0,1.0,0.25461745262145996,19/02/2025 17:16:57
3,2,DERECHA,1739996235.6134744,1739996242.2264397,1739996252.6003056,2.0,1.0,0.2598450183868408,19/02/2025 17:17:15
4,1,IZQUIERDA,1739996253.8032556,1739996259.1669388,1739996269.5393004,2.0,1.0,0.2526090145111084,19/02/2025 17:17:33
5,2,DERECHA,1739996270.7362857,1739996275.7062843,1739996286.0837052,2.0,1.0,0.25588250160217285,19/02/2025 17:17:50
6,1,IZQUIERDA,1739996287.2862837,1739996292.707215,1739996303.0900545,2.0,1.0,0.2593855857849121,19/02/2025 17:18:07
7,2,DERECHA,1739996304.286288,1739996309.376284,1739996319.7587426,2.0,1.0,0.2550632953643799,19/02/2025 17:18:24
8,2,DERECHA,1739996320.9562883,1739996325.945117,1739996336.321274,2.0,1.0,0.24661946296691895,19/02/2025 17:18:40
9,2,DERECHA,1739996337.5172184,1739996342.3662848,1739996352.740451,2.0,1.0,0.2583615779876709,19/02/2025 17:18:57
10,1,IZQUIERDA,1739996353.9446774,1739996360.4467125,1739996370.8197267,2.0,1.0,0.26055312156677246,19/02/2025 17:19:13
11,2,DERECHA,1739996372.0229788,1739996378.177136,1739996388.5542583,2.0,1.0,0.26452159881591797,19/02/2025 17:19:32
12,1,IZQUIERDA,1739996389.7571728,1739996396.2750475,1739996406.6493196,2.0,1.0,0.24798798561096191,19/02/2025 17:19:49
13,1,IZQUIERDA,1739996407.8463242,1739996413.946266,1739996424.3193045,2.0,1.0,0.26016902923583984,19/02/2025 17:20:07
14,1,IZQUIERDA,1739996425.5272727,1739996431.956416,1739996442.3376515,2.0,1.0,0.25632643699645996,19/02/2025 17:20:25
15,1,IZQUIERDA,1739996443.5362875,1739996448.4392135,1739996458.818899,2.0,1.0,0.24502205848693848,19/02/2025 17:20:43
16,1,IZQUIERDA,1739996460.0267122,1739996466.3962848,1739996476.7699182,2.0,1.0,0.26685166358947754,19/02/2025 17:21:00
17,1,IZQUIERDA,1739996477.9568503,1739996483.14639,1739996493.520015,2.0,1.0,0.2593836784362793,19/02/2025 17:21:17
18,2,DERECHA,1739996494.706243,1739996500.0669062,1739996510.4505467,2.0,1.0,0.2469923496246338,19/02/2025 17:21:34
19,2,DERECHA,1739996511.6464362,1739996518.2262871,1739996528.5995548,2.0,1.0,0.26110219955444336,19/02/2025 17:21:51
20,2,DERECHA,1739996529.8002725,1739996534.736289,1739996545.1193757,2.0,1.0,0.2623441219329834,19/02/2025 17:22:09
